cik,name,tickers,exchanges,entity_type,sic,state_of_incorporation,filing_date,report_date,url,file_size_in_bytes,download_success,download_error,word_count,report_year,original_row_number,reason_type,dedup_action,dedup_rule,accession_number
0000949956,VERITY INC \DE\,,,operating,7374.0,DE,2002-08-16,2002-05-31,https://www.sec.gov/Archives/edgar/data/949956/000089161802003972/f83502e10vk.htm,1015648,True,,33496.0,2002,50855,,kept,kept_unflagged_or_reason1,0000891618-02-003972
0001464830,"Silver Falcon Mining, Inc.",,,operating,1040.0,DE,2012-04-11,2011-12-31,https://www.sec.gov/Archives/edgar/data/1464830/000109181812000111/sfmi0410201210k.htm,2496075,True,,35798.0,2011,124429,,kept,kept_unflagged_or_reason1,0001091818-12-000111
0001141240,LIQUIDMETAL TECHNOLOGIES INC,LQMT,OTC,operating,2800.0,DE,2003-03-31,2002-12-31,https://www.sec.gov/Archives/edgar/data/1141240/000095014403004158/g81487e10vk.htm,1021000,True,,38069.0,2002,77735,,kept,kept_unflagged_or_reason1,0000950144-03-004158
0001053112,CABLEVISION SYSTEMS CORP /NY,,,operating,4841.0,DE,2014-02-26,2013-12-31,https://www.sec.gov/Archives/edgar/data/1053112/000114036114009776/form10k.htm,29772959,True,,86475.0,2013,61707,,kept,kept_unflagged_or_reason1,0001140361-14-009776
0001286243,INTERSTAR MILLENNIUM SERIES 2002-1G TRUST,,,operating,6189.0,,2004-10-19,2003-12-31,https://www.sec.gov/Archives/edgar/data/1286243/000090256104000463/form10k_kd2-101804.txt,65841,True,,2739.0,2003,91603,,kept,kept_unflagged_or_reason1,0000902561-04-000463
0001304973,Alternative Loan Trust 2004-J9,,,operating,6189.0,,2005-03-29,2004-12-31,https://www.sec.gov/Archives/edgar/data/1304973/000090514805001984/efc5-0566_5670758fm10k.txt,23358,True,,1581.0,2004,95076,,kept,kept_unflagged_or_reason1,0000905148-05-001984
0001051343,COMMUNITY WEST BANCSHARES /,,,operating,6022.0,CA,2009-03-30,2008-12-31,https://www.sec.gov/Archives/edgar/data/1051343/000114036109008223/form10k.htm,3744648,True,,43222.0,2008,61265,,kept,kept_unflagged_or_reason1,0001140361-09-008223
0000753557,LBO CAPITAL CORP,,,operating,6770.0,CO,2009-04-15,2008-12-31,https://www.sec.gov/Archives/edgar/data/753557/000075355709000003/f2008lbo10kfinaluhy.htm,561209,True,,19247.0,2008,23084,,kept,kept_unflagged_or_reason1,0000753557-09-000003
0001168990,"SUPERFUND GREEN, L.P.",,,operating,6221.0,J5,2003-03-31,2002-12-31,https://www.sec.gov/Archives/edgar/data/1168990/000095013703001863/c75808e10vk.txt,91022,True,,10592.0,2002,81037,,kept,kept_unflagged_or_reason1,0000950137-03-001863
0001378125,Toga Ltd,,,operating,7371.0,,2010-10-29,2010-07-31,https://www.sec.gov/Archives/edgar/data/1378125/000114420410056334/v200042_10k.htm,1947242,True,,14974.0,2010,109186,,kept,kept_unflagged_or_reason1,0001144204-10-056334
0001789029,"Aeva Technologies, Inc.",AEVA,Nasdaq,operating,3714.0,DE,2024-03-15,2023-12-31,https://www.sec.gov/Archives/edgar/data/1789029/000095017024032299/aeva-20231231.htm,13009469,True,,55639.0,2023,155064,,kept,kept_unflagged_or_reason1,0000950170-24-032299
0001393540,IGEN NETWORKS CORP,,,operating,7363.0,NV,2022-03-31,2021-12-31,https://www.sec.gov/Archives/edgar/data/1393540/000164033422000629/igen_10k.htm,6111134,True,,22880.0,2021,112613,,kept,kept_unflagged_or_reason1,0001640334-22-000629
0001578329,APEX 11 INC.,,,operating,6770.0,NY,2025-05-16,2024-12-31,https://www.sec.gov/Archives/edgar/data/1578329/000118518525000507/apex10k123124.htm,1626265,True,,11947.0,2024,138591,,kept,kept_unflagged_or_reason1,0001185185-25-000507
0001043951,CAMPBELL FUND TRUST,,,operating,6221.0,DE,2016-03-29,2015-12-31,https://www.sec.gov/Archives/edgar/data/1043951/000104395116000065/cft10k_dec2015.htm,6149701,True,,49358.0,2015,59777,,kept,kept_unflagged_or_reason1,0001043951-16-000065
0001478913,China Education Acquisition Corp.,,,operating,6770.0,DE,2011-03-31,2011-03-31,https://www.sec.gov/Archives/edgar/data/1478913/000151116411000013/form10kv8.htm,1289428,True,,11774.0,2011,126002,,kept,kept_unflagged_or_reason1,0001511164-11-000013
0001001039,TWDC Enterprises 18 Corp.,,,operating,7990.0,DE,2013-11-20,2013-09-28,https://www.sec.gov/Archives/edgar/data/1001039/000100103913000164/fy2013_q4x10k.htm,27801338,True,,56511.0,2013,51147,,kept,kept_unflagged_or_reason1,0001001039-13-000164
0001106773,"SCIELE PHARMA, INC.",,,operating,2834.0,DE,2006-02-28,2005-12-31,https://www.sec.gov/Archives/edgar/data/1106773/000110465906012316/a06-3045_110k.htm,3483175,True,,49399.0,2005,72561,,kept,kept_unflagged_or_reason1,0001104659-06-012316
0001290677,"Turning Point Brands, Inc.",TPB,NYSE,operating,2100.0,DE,2021-02-19,2020-12-31,https://www.sec.gov/Archives/edgar/data/1290677/000114036121005505/brhc10020238_10k.htm,16325047,True,,65747.0,2020,92644,,kept,kept_unflagged_or_reason1,0001140361-21-005505
0001006028,"PURE BIOSCIENCE, INC.",PURE,OTC,operating,2890.0,DE,2019-10-30,2019-07-31,https://www.sec.gov/Archives/edgar/data/1006028/000149315219016126/form10-k.htm,4595575,True,,52023.0,2019,52611,,kept,kept_unflagged_or_reason1,0001493152-19-016126
0000806613,GEODYNE ENERGY INCOME LTD PARTNERSHIP I-E,,,operating,1311.0,OK,2005-03-30,2004-12-31,https://www.sec.gov/Archives/edgar/data/806613/000088823905000074/geoi.txt,291140,True,,28446.0,2004,27974,,kept,kept_unflagged_or_reason1,0000888239-05-000074
0001065059,CENTRUS ENERGY CORP,LEU,NYSE,operating,1400.0,DE,2016-03-23,2015-12-31,https://www.sec.gov/Archives/edgar/data/1065059/000106505916000061/leu-20151231x10k.htm,14646977,True,,61396.0,2015,64061,,kept,kept_unflagged_or_reason1,0001065059-16-000061
