original_row_number,cik,ticker,tickers,gvkey,permno,name,filing_date,report_date,report_year,fyear,year,filing_year,form,url,filing_url,filing_href,accession_number,filing_url_used,reason_type,dedup_action,local_file_path,source_file,text_found,download_attempted,downloaded_this_run,download_success,download_status,http_status,part_i_ii_success,full_text_fallback,section_used,section_extraction_success,used_full_text_fallback,total_words,negative_words,negtone,status,parse_status,failure_reason,file_size_mb,processed_at
50855,0000949956,,,,,VERITY INC \DE\,2002-08-16,2002-05-31,2002,,,,,https://www.sec.gov/Archives/edgar/data/949956/000089161802003972/f83502e10vk.htm,,,0000891618-02-003972,https://www.sec.gov/Archives/edgar/data/949956/000089161802003972/f83502e10vk.htm,,kept,data/generated/10k_texts_full/949956_2002_0000891618-02-003972.txt,data/generated/10k_texts_full/949956_2002_0000891618-02-003972.txt,True,False,False,False,,,True,False,part_i_ii,True,False,19036,402,0.02111788190796386,success,success,,0.9095869064331055,2026-06-29T21:45:02.318187+00:00
124429,0001464830,,,,,"Silver Falcon Mining, Inc.",2012-04-11,2011-12-31,2011,,,,,https://www.sec.gov/Archives/edgar/data/1464830/000109181812000111/sfmi0410201210k.htm,,,0001091818-12-000111,https://www.sec.gov/Archives/edgar/data/1464830/000109181812000111/sfmi0410201210k.htm,,kept,data/generated/10k_texts_full/1464830_2011_0001091818-12-000111.txt,data/generated/10k_texts_full/1464830_2011_0001091818-12-000111.txt,True,False,False,False,,,True,False,part_i_ii,True,False,17154,283,0.016497609886906843,success,success,,0.49018287658691406,2026-06-29T21:45:04.412820+00:00
77735,0001141240,,LQMT,,,LIQUIDMETAL TECHNOLOGIES INC,2003-03-31,2002-12-31,2002,,,,,https://www.sec.gov/Archives/edgar/data/1141240/000095014403004158/g81487e10vk.htm,,,0000950144-03-004158,https://www.sec.gov/Archives/edgar/data/1141240/000095014403004158/g81487e10vk.htm,,kept,data/generated/10k_texts_full/1141240_2002_0000950144-03-004158.txt,data/generated/10k_texts_full/1141240_2002_0000950144-03-004158.txt,True,False,False,False,,,True,False,part_i_ii,True,False,20102,337,0.016764501044672173,success,success,,0.8128433227539062,2026-06-29T21:45:04.818782+00:00
61707,0001053112,,,,,CABLEVISION SYSTEMS CORP /NY,2014-02-26,2013-12-31,2013,,,,,https://www.sec.gov/Archives/edgar/data/1053112/000114036114009776/form10k.htm,,,0001140361-14-009776,https://www.sec.gov/Archives/edgar/data/1053112/000114036114009776/form10k.htm,,kept,data/generated/10k_texts_full/784681_2013_0001140361-14-009776.txt,data/generated/10k_texts_full/784681_2013_0001140361-14-009776.txt,True,False,False,False,,,True,False,part_i_ii,True,False,42628,664,0.015576616308529604,success,success,,4.996559143066406,2026-06-29T21:45:06.901911+00:00
91603,0001286243,,,,,INTERSTAR MILLENNIUM SERIES 2002-1G TRUST,2004-10-19,2003-12-31,2003,,,,,https://www.sec.gov/Archives/edgar/data/1286243/000090256104000463/form10k_kd2-101804.txt,,,0000902561-04-000463,https://www.sec.gov/Archives/edgar/data/1286243/000090256104000463/form10k_kd2-101804.txt,,kept,data/generated/10k_texts_full/1286243_2003_0000902561-04-000463.txt,data/generated/10k_texts_full/1286243_2003_0000902561-04-000463.txt,True,False,False,False,,,True,False,part_i_ii,True,False,1416,9,0.006355932203389831,success,success,,0.020221710205078125,2026-06-29T21:45:10.464550+00:00
95076,0001304973,,,,,Alternative Loan Trust 2004-J9,2005-03-29,2004-12-31,2004,,,,,https://www.sec.gov/Archives/edgar/data/1304973/000090514805001984/efc5-0566_5670758fm10k.txt,,,0000905148-05-001984,https://www.sec.gov/Archives/edgar/data/1304973/000090514805001984/efc5-0566_5670758fm10k.txt,,kept,data/generated/10k_texts_full/1304973_2004_0000905148-05-001984.txt,data/generated/10k_texts_full/1304973_2004_0000905148-05-001984.txt,True,False,False,False,,,False,True,full_text_fallback,False,True,1501,7,0.004663557628247834,success,success,,0.013869285583496094,2026-06-29T21:45:10.532490+00:00
61265,0001051343,,,,,COMMUNITY WEST BANCSHARES /,2009-03-30,2008-12-31,2008,,,,,https://www.sec.gov/Archives/edgar/data/1051343/000114036109008223/form10k.htm,,,0001140361-09-008223,https://www.sec.gov/Archives/edgar/data/1051343/000114036109008223/form10k.htm,,kept,data/generated/10k_texts_full/1051343_2008_0001140361-09-008223.txt,data/generated/10k_texts_full/1051343_2008_0001140361-09-008223.txt,True,False,False,False,,,True,False,part_i_ii,True,False,35295,728,0.020626151012891343,success,success,,3.526595115661621,2026-06-29T21:45:10.601045+00:00
23084,0000753557,,,,,LBO CAPITAL CORP,2009-04-15,2008-12-31,2008,,,,,https://www.sec.gov/Archives/edgar/data/753557/000075355709000003/f2008lbo10kfinaluhy.htm,,,0000753557-09-000003,https://www.sec.gov/Archives/edgar/data/753557/000075355709000003/f2008lbo10kfinaluhy.htm,,kept,data/generated/10k_texts_full/753557_2008_0000753557-09-000003.txt,data/generated/10k_texts_full/753557_2008_0000753557-09-000003.txt,True,False,False,False,,,False,True,full_text_fallback,False,True,17573,126,0.007170090479713197,success,success,,0.5338373184204102,2026-06-29T21:45:13.025986+00:00
81037,0001168990,,,,,"SUPERFUND GREEN, L.P.",2003-03-31,2002-12-31,2002,,,,,https://www.sec.gov/Archives/edgar/data/1168990/000095013703001863/c75808e10vk.txt,,,0000950137-03-001863,https://www.sec.gov/Archives/edgar/data/1168990/000095013703001863/c75808e10vk.txt,,kept,data/generated/10k_texts_full/1168990_2002_0000950137-03-001863.txt,data/generated/10k_texts_full/1168990_2002_0000950137-03-001863.txt,True,False,False,False,,,False,True,full_text_fallback,False,True,9931,131,0.01319101802436814,success,success,,0.08562278747558594,2026-06-29T21:45:13.314811+00:00
109186,0001378125,,,,,Toga Ltd,2010-10-29,2010-07-31,2010,,,,,https://www.sec.gov/Archives/edgar/data/1378125/000114420410056334/v200042_10k.htm,,,0001144204-10-056334,https://www.sec.gov/Archives/edgar/data/1378125/000114420410056334/v200042_10k.htm,,kept,data/generated/10k_texts_full/1378125_2010_0001144204-10-056334.txt,data/generated/10k_texts_full/1378125_2010_0001144204-10-056334.txt,True,False,False,False,,,True,False,part_i_ii,True,False,9942,140,0.01408167370750352,success,success,,0.6843137741088867,2026-06-29T21:45:13.408637+00:00
155064,0001789029,,AEVA,,,"Aeva Technologies, Inc.",2024-03-15,2023-12-31,2023,,,,,https://www.sec.gov/Archives/edgar/data/1789029/000095017024032299/aeva-20231231.htm,,,0000950170-24-032299,https://www.sec.gov/Archives/edgar/data/1789029/000095017024032299/aeva-20231231.htm,,kept,data/generated/10k_texts_full/1789029_2023_0000950170-24-032299.txt,data/generated/10k_texts_full/1789029_2023_0000950170-24-032299.txt,True,False,False,False,,,True,False,part_i_ii,True,False,30852,1179,0.0382147024504084,success,success,,2.6553592681884766,2026-06-29T21:45:14.040087+00:00
112613,0001393540,,,,,IGEN NETWORKS CORP,2022-03-31,2021-12-31,2021,,,,,https://www.sec.gov/Archives/edgar/data/1393540/000164033422000629/igen_10k.htm,,,0001640334-22-000629,https://www.sec.gov/Archives/edgar/data/1393540/000164033422000629/igen_10k.htm,,kept,data/generated/10k_texts_full/1393540_2021_0001640334-22-000629.txt,data/generated/10k_texts_full/1393540_2021_0001640334-22-000629.txt,True,False,False,False,,,True,False,part_i_ii,True,False,16236,227,0.013981276176398128,success,success,,1.2374134063720703,2026-06-29T21:45:15.196063+00:00
138591,0001578329,,,,,APEX 11 INC.,2025-05-16,2024-12-31,2024,,,,,https://www.sec.gov/Archives/edgar/data/1578329/000118518525000507/apex10k123124.htm,,,0001185185-25-000507,https://www.sec.gov/Archives/edgar/data/1578329/000118518525000507/apex10k123124.htm,,kept,data/generated/10k_texts_full/1578329_2024_0001185185-25-000507.txt,data/generated/10k_texts_full/1578329_2024_0001185185-25-000507.txt,True,False,False,False,,,True,False,part_i_ii,True,False,6780,111,0.016371681415929203,success,success,,0.384674072265625,2026-06-29T21:45:16.202316+00:00
59777,0001043951,,,,,CAMPBELL FUND TRUST,2016-03-29,2015-12-31,2015,,,,,https://www.sec.gov/Archives/edgar/data/1043951/000104395116000065/cft10k_dec2015.htm,,,0001043951-16-000065,https://www.sec.gov/Archives/edgar/data/1043951/000104395116000065/cft10k_dec2015.htm,,kept,data/generated/10k_texts_full/1043951_2015_0001043951-16-000065.txt,data/generated/10k_texts_full/1043951_2015_0001043951-16-000065.txt,True,False,False,False,,,True,False,part_i_ii,True,False,34307,1106,0.03223831871046725,success,success,,1.7199735641479492,2026-06-29T21:45:16.524844+00:00
126002,0001478913,,,,,China Education Acquisition Corp.,2011-03-31,2011-03-31,2011,,,,,https://www.sec.gov/Archives/edgar/data/1478913/000151116411000013/form10kv8.htm,,,0001511164-11-000013,https://www.sec.gov/Archives/edgar/data/1478913/000151116411000013/form10kv8.htm,,kept,data/generated/10k_texts_full/1478913_2011_0001511164-11-000013.txt,data/generated/10k_texts_full/1478913_2011_0001511164-11-000013.txt,True,False,False,False,,,True,False,part_i_ii,True,False,6741,105,0.01557632398753894,success,success,,0.1953439712524414,2026-06-29T21:45:17.800401+00:00
51147,0001001039,,,,,TWDC Enterprises 18 Corp.,2013-11-20,2013-09-28,2013,,,,,https://www.sec.gov/Archives/edgar/data/1001039/000100103913000164/fy2013_q4x10k.htm,,,0001001039-13-000164,https://www.sec.gov/Archives/edgar/data/1001039/000100103913000164/fy2013_q4x10k.htm,,kept,data/generated/10k_texts_full/1001039_2013_0001001039-13-000164.txt,data/generated/10k_texts_full/1001039_2013_0001001039-13-000164.txt,True,False,False,False,,,True,False,part_i_ii,True,False,30034,383,0.012752214157288406,success,success,,3.589615821838379,2026-06-29T21:45:18.083346+00:00
72561,0001106773,,,,,"SCIELE PHARMA, INC.",2006-02-28,2005-12-31,2005,,,,,https://www.sec.gov/Archives/edgar/data/1106773/000110465906012316/a06-3045_110k.htm,,,0001104659-06-012316,https://www.sec.gov/Archives/edgar/data/1106773/000110465906012316/a06-3045_110k.htm,,kept,data/generated/10k_texts_full/1106773_2005_0001104659-06-012316.txt,data/generated/10k_texts_full/1106773_2005_0001104659-06-012316.txt,True,False,False,False,,,True,False,part_i_ii,True,False,29499,517,0.01752601783111292,success,success,,1.749587059020996,2026-06-29T21:45:21.878217+00:00
92644,0001290677,,TPB,,,"Turning Point Brands, Inc.",2021-02-19,2020-12-31,2020,,,,,https://www.sec.gov/Archives/edgar/data/1290677/000114036121005505/brhc10020238_10k.htm,,,0001140361-21-005505,https://www.sec.gov/Archives/edgar/data/1290677/000114036121005505/brhc10020238_10k.htm,,kept,data/generated/10k_texts_full/1290677_2020_0001140361-21-005505.txt,data/generated/10k_texts_full/1290677_2020_0001140361-21-005505.txt,True,False,False,False,,,True,False,part_i_ii,True,False,55331,934,0.016880229889212197,success,success,,3.139036178588867,2026-06-29T21:45:23.580714+00:00
