DATE,vwretd,ewretd
2000-01-03,-0.006803,0.002878
2000-01-04,-0.039652,-0.017465
2000-01-05,-0.000935,0.007821
2000-01-06,-0.007391,0.004504
2000-01-07,0.032516,0.017008
2000-01-10,0.018608,0.015333
2000-01-11,-0.016941,-0.006079
2000-01-12,-0.006922,-0.002505
2000-01-13,0.016265,0.013063
2000-01-14,0.011137,0.009119
2000-01-18,-0.000860,0.012040
2000-01-19,0.004631,0.008125
2000-01-20,-0.002801,0.003468
2000-01-21,0.002655,0.008277
2000-01-24,-0.025311,-0.002527
2000-01-25,0.005547,0.000870
2000-01-26,-0.004530,0.003851
2000-01-27,-0.003521,-0.002202
2000-01-28,-0.028051,-0.015015
2000-01-31,0.014744,-0.005371
2000-02-01,0.012300,0.008028
2000-02-02,0.003106,0.008154
2000-02-03,0.015598,0.013512
2000-02-04,0.001021,0.006727
2000-02-07,0.003075,0.009064
2000-02-08,0.012724,0.009960
2000-02-09,-0.017185,-0.001750
2000-02-10,0.006488,0.007364
2000-02-11,-0.017335,-0.001085
2000-02-14,0.002672,0.007272
2000-02-15,0.007370,0.001399
2000-02-16,-0.005260,0.004001
2000-02-17,0.005036,0.010399
2000-02-18,-0.026050,-0.006761
2000-02-22,0.000556,-0.000437
2000-02-23,0.012353,0.005510
2000-02-24,-0.000378,-0.001434
2000-02-25,-0.009546,0.000961
2000-02-28,0.007756,0.006148
2000-02-29,0.019138,0.018831
2000-03-01,0.014596,0.014015
2000-03-02,-0.000614,0.004548
2000-03-03,0.022590,0.014351
2000-03-06,-0.006612,0.004817
2000-03-07,-0.021824,-0.005020
2000-03-08,0.006478,0.001191
2000-03-09,0.023977,0.013047
2000-03-10,-0.002837,0.000308
2000-03-13,-0.014555,-0.008059
2000-03-14,-0.022405,-0.012365
2000-03-15,0.006799,-0.005430
2000-03-16,0.041149,0.015255
2000-03-17,0.006478,0.003703
2000-03-20,-0.016474,-0.014640
2000-03-21,0.019027,-0.004312
2000-03-22,0.013567,0.012681
2000-03-23,0.014405,0.006424
2000-03-24,0.002147,0.001122
2000-03-27,-0.003358,-0.002379
2000-03-28,-0.013168,-0.008854
2000-03-29,-0.010693,-0.013118
2000-03-30,-0.018181,-0.017729
2000-03-31,0.012111,0.013089
2000-04-03,-0.017206,-0.023610
2000-04-04,-0.012824,-0.028033
2000-04-05,0.001060,0.008262
2000-04-06,0.015859,0.019032
2000-04-07,0.014535,0.013005
2000-04-10,-0.019337,-0.016988
2000-04-11,-0.010238,-0.015836
2000-04-12,-0.029996,-0.027053
2000-04-13,-0.017135,-0.015751
2000-04-14,-0.066175,-0.063522
2000-04-17,0.029299,-0.009437
2000-04-18,0.038392,0.048394
2000-04-19,-0.007378,0.011476
2000-04-20,0.000561,0.003050
2000-04-24,-0.010579,-0.017588
2000-04-25,0.038638,0.023633
2000-04-26,-0.011333,-0.002105
2000-04-27,0.007165,0.004455
2000-04-28,0.000973,0.014912
2000-05-01,0.015141,0.018069
2000-05-02,-0.019366,-0.008385
2000-05-03,-0.021067,-0.014452
2000-05-04,0.000882,0.006214
2000-05-05,0.015485,0.008431
2000-05-08,-0.010189,-0.006955
2000-05-09,-0.011780,-0.010127
2000-05-10,-0.026778,-0.023452
2000-05-11,0.020428,0.013091
2000-05-12,0.008521,0.004587
2000-05-15,0.020691,0.004772
2000-05-16,0.013807,0.008270
2000-05-17,-0.013413,-0.006210
2000-05-18,-0.010467,-0.005720
2000-05-19,-0.024081,-0.015357
2000-05-22,-0.007917,-0.015313
2000-05-23,-0.023379,-0.014364
2000-05-24,0.015412,-0.008830
2000-05-25,-0.011616,-0.005172
2000-05-26,-0.001787,-0.002730
2000-05-30,0.037875,0.021615
2000-05-31,-0.001740,0.002846
2000-06-01,0.025195,0.019431
2000-06-02,0.029096,0.030798
2000-06-05,-0.003705,0.007911
2000-06-06,-0.007927,0.002692
