cik.x,gvkey,permno,filing_date,event_date,CAR_m1_p1,car_vw_0_p1,car_vw_m2_p2,car_ew_0_p1,car_ew_m1_p1,car_ew_m2_p2,fyear,accession_number,LM_NegTone,text_length,negative_words,section_used,status,costat,indfmt,conm,tic,cusip,cik.y,sic,sic2,size,bm,leverage,roa,loss,market_equity,at,ceq,dlc,dltt,ni,csho,prcc_f
0000907471,028866,79571,2019-11-26,2019-11-26,0.00388699999999999,-0.015211,0.00840599999999999,-0.014907,0.00155899999999999,7.3199999999999e-4,2019,0000907471-19-000174,0.0194145414771746,69484,1349,part_i_ii,success,A,INDL,PATHWARD FINANCIAL INC,CASH,59100U108,0000907471,6020,60,8.729541078683832,0.6812558631219082,0.13939387567949615,0.01568910331576334,0,1232.88627,6182.89,839.911,653.32,208.537,97.004,37.807,32.61
0000922358,013962,80682,2011-09-26,2011-09-26,-0.07191900000000001,-0.061404,-0.07214199999999998,-0.052608,-0.064624,-0.06477,2011,0001104659-11-053149,0.01424735601950791,36498,520,part_i_ii,success,A,INDL,FERRELLGAS PARTNERS  -LP,FGPR,315293209,0000922358,5900,59,7.2865930040380595,0.0558853553532094,0.8074868580145229,-0.02988389591574888,1,1531.47456,1460.586,85.587,128.484,1050.92,-43.648,75.966,20.16
0000922358,013962,80682,2015-09-29,2015-09-29,-0.059819,-0.065626,-0.057082,-0.054607,-0.049906,-0.035953,2015,0000922358-15-000016,0.01653730644720933,51278,848,part_i_ii,success,A,INDL,FERRELLGAS PARTNERS  -LP,FGPR,315293209,0000922358,5900,59,7.809564051667877,0.0973100347452329,0.7927429409071872,0.01202083069540627,0,2093.86422,2464.056,203.754,148.971,1804.392,29.62,100.377,20.86
0000924940,064418,84571,2003-06-24,2003-06-24,-0.06650999999999999,6.15e-4,0.04069599999999999,-0.006679,-0.07424,0.03582700000000002,2003,0000950137-03-003501,0.01277858527131783,16512,211,part_i_ii,success,I,INDL,DIAMOND MANAGEMENT & TECHNL,DTPI,25269L106,0000924940,8742,87,4.809473366888433,0.24373918667014835,0,-0.04411129317583376,1,331.44855,122.667,80.787,0,0,-5.411,34.347,9.65
0000924940,064418,84571,2007-06-08,2007-06-08,-0.006805,-0.026452,-0.042912,-0.021077,-0.005315,-0.04399,2007,0000950137-07-008590,0.01259319876341153,21996,277,part_i_ii,success,I,INDL,DIAMOND MANAGEMENT & TECHNL,DTPI,25269L106,0000924940,8742,87,4.526072864629389,0.4284170570108563,0,0.2283023973158721,0,174.7176,92.395,74.852,0,0,21.094,27.088,6.45
0000946581,064630,84761,2019-05-14,2019-05-14,0.05053399999999999,0.058642,0.050996,0.060973,0.050995,0.059892,2019,0001628280-19-006691,0.03198561464690497,18352,587,part_i_ii,success,A,INDL,TAKE-TWO INTERACTIVE SFTWR,TTWO,874054109,0000946581,7372,73,8.50690686812393,0.18860982399524712,0.03581572379098745,0.08172817343567128,0,13462.94666,4948.832,2539.244,25.187,152.059,404.459,113.506,118.61
0000946581,064630,84761,2021-05-19,2021-05-19,0.09695,0.094126,0.10208499999999998,0.097481,0.091877,0.087901000000000007,2021,0001628280-21-010627,0.03173164097914778,18751,595,part_i_ii,success,A,INDL,TAKE-TWO INTERACTIVE SFTWR,TTWO,874054109,0000946581,7372,73,8.786642910046872,0.21479176556828763,0.03822328583874141,0.06385701425509901,0,17736.52258,6546.219,3809.659,38.921,211.297,418.022,115.367,153.74
0001070524,117026,87069,2017-09-28,2017-09-28,0.012186,0.005256,0.07894300000000001,0.00561399999999999,0.009544,0.071576,2017,0001140361-17-036703,0.01525468694729395,45232,690,part_i_ii,success,A,INDL,GREENE COUNTY BANCORP INC,GCBC,394357107,0001070524,6035,60,6.889887598468435,0.3611225449841233,0.03008273515689342,0.01138868217259447,0,231.2816,982.291,83.521,11.4,18.15,11.187,8.503,27.2
0001108205,138341,88511,2014-03-13,2014-03-13,-9.9499999999999e-4,-0.028916,0.045652,-0.033793,-0.00604199999999999,0.04528599999999999,2013,0001193125-14-097662,0.01811131602591384,63441,1149,part_i_ii,success,A,INDL,CURIS INC,CRIS,231269309,0001108205,2836,28,4.38938698074684,0.18657507001211537,0.3791242198260352,-0.15289548460746238,1,242.12237999999996,80.591,45.174,2.61,27.944,-12.322,85.859,2.82
0001108205,138341,88511,2011-03-08,2011-03-08,-0.00210899999999999,0.018584,-0.00668899999999999,0.018375,-0.00200699999999999,-0.009411,2010,0001193125-11-059249,0.01641774028046973,52626,864,part_i_ii,success,A,INDL,CURIS INC,CRIS,231269309,0001108205,2836,28,3.9249194871631663,0.3034596452939554,0,-0.08756342672115934,1,149.99688,50.649,45.518,0,0,-4.435,75.756,1.98
0001108205,138341,88511,2017-03-09,2017-03-09,0.218298,0.165682,0.22921,0.16891699999999998,0.22248199999999996,0.23108,2016,0001108205-17-000006,0.01924979540985208,81871,1576,part_i_ii,success,A,INDL,CURIS INC,CRIS,231269309,0001108205,2836,28,4.0561579808368595,0.06733048986669915,0.343884194486771,-1.046041695525696,1,434.66192,57.752,29.266,4.939,14.921,-60.411,141.124,3.08
0001138951,148410,89471,2014-03-14,2014-03-14,0.01096699999999999,-0.00689,0.022515,-0.00656599999999999,0.008994,0.01932800000000001,2013,0001144204-14-015778,0.02063848537396594,35177,726,part_i_ii,success,I,INDL,LEAPFROG ENTERPRISES INC,LF,52186N106,0001138951,3944,39,6.236510480473899,0.7764729294733587,0,0.16437801327405924,0,550.33728,511.072,427.322,0,0,84.009,69.312,7.94
0001123979,142812,90238,2005-03-10,2005-03-10,-0.03469,-0.033926,-0.06073900000000001,-0.033498,-0.036555,-0.05859,2004,0001104659-05-010446,0.00661675082709385,11486,76,part_i_ii,success,I,INDL,SENOMYX INC,SNMX,81724Q107,0001123979,2080,20,3.779679478440375,0.1831062935541317,0,-0.4500707730240628,1,209.56679999999997,43.802,38.373,0,0,-19.714,25.31,8.28
0001138951,148410,89471,2013-03-11,2013-03-11,-0.023765,-0.043403,-0.027977,-0.043272,-0.024894,-0.030313,2012,0001144204-13-014251,0.0198723571579807,33061,657,part_i_ii,success,I,INDL,LEAPFROG ENTERPRISES INC,LF,52186N106,0001138951,3944,39,6.061235449183958,0.564853325476521,0,0.20156444900385867,0,584.1215500000001,428.905,329.943,0,0,86.452,67.685,8.63
